bank_id,bank_name,city,district,state,latitude,longitude,data_source,collected_at_utc,directory_snapshot
official_1,NALCO Hospital Blood Bank,Damanjodi,Koraput,Odisha,18.760347,82.9011261,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_2,Military Hospital Blood Bank,Ajmer,Ajmer,Rajasthan,26.310265,74.727086,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_3,Military Hospital Blood Bank,Jodhpur,Jodhpur,Rajasthan,26.289543,73.047169,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_4,Jain Pathology Laboratory and Blood Bank,Mandsaur,Mandsaur,Madhya Pradesh,24.5550033,75.1727662,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_5,Sree Narayana Institute of Medical Sciences Blood Bank,North Kuthyathode,Ernakulam,Kerala,10.156697,76.282305,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_6,Nirmala Hospital Blood Bank,Marrikunnu,Kozhikode,Kerala,11.291596,75.823253,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_7,Padhar Hospital Blood Bank,Padhar,Betul,Madhya Pradesh,22.055189,77.86498,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_8,General Chest Hospital,Hyderabad,Hyderabad,Telangana,17.445384,78.434951,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_9,Lok Priya Hospital Blood Bank,Ghaziabad,Ghaziabad,Uttar Pradesh,28.968368,77.730589,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_10,Naveen Hospital,Dadri,Gautam Buddha Nagar,Uttar Pradesh,28.477615,77.518568,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_11,District Hospital Blood Bank Haveri,Haveri,Haveri,Karnataka,14.785408,75.403059,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_12,Shripad Hegde Kadave Institute of Medical Sciences Blood Bank,Sirsi,Uttara Kannada,Karnataka,14.632385,74.848338,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_13,District Hospital Blood Bank Manjeri,Manjeri,Malappuram,Kerala,11.116071,76.120541,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_14,K. L. E. Society Blood Bank,Ankola,Uttara Kannada,Karnataka,14.661796,74.309805,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_15,Shimoga Mid Town Rotary Charity Foundation Blood Bank,Shimoga,Shivamogga,Karnataka,13.94626,75.57832,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_16,Mary Immaculate Mission Hospital Blood Bank,Engandiyur,Thrissur,Kerala,10.508889,76.057764,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_17,Government Woman and Child Hospital Blood Bank,Kottapparamba,Kozhikode,Kerala,11.250764,75.78275,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_18,Josgiri Hospital Blood Bank,Thalasherry,Kannur,Kerala,11.759133,75.478803,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_19,A. J. Hospital and Research Centre Blood Bank,Mangalore,Dakshina Kannada,Karnataka,12.899478,74.845975,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_20,P. V. S. Hospital Private Limited Blood Bank,,Kozhikode,Kerala,11.242707,75.782934,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_21,Unity Hospital Private Limited Blood Bank,Kunnamkulam,Thrissur,Kerala,10.635746,76.081869,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_22,National Hospital Blood Bank,Kozhikode,Kozhikode,Kerala,11.259485,75.781234,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_23,Sara Memorial Medical laboratory and Blood Bank,,Kannur,Kerala,11.7494919,75.5229777,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_24,Subbaiah Medical College Blood Bank,Shimoga,Shivamogga,Karnataka,13.932932,75.617172,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_25,Fr. Mullers Charitable Instituitions Blood Bank,Mangalore,Dakshina Kannada,Karnataka,12.866805,74.85933,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_26,Karnataka Hemophillia Society Life Line Blood Bank,Davangere,Davangere,Karnataka,14.457405,75.902533,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_27,Kannur Medical college and Hospital (Prestige educational Trust) Blood Bank,Anjarakandy,Kannur,Kerala,11.875772,75.499253,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_28,Tellichery Co-operative Hospital Blood Bank,Thalassery,Kannur,Kerala,11.748758,75.486599,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_29,Kerala State Co-operative Hospital Complex and Centre for Advanced Medical Services Limited,Pariyaram,Kannur,Kerala,12.072392,75.294333,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_30,Yenepoya Medical College Blood Bank,Mangalore,Dakshina Kannada,Karnataka,12.81194,74.881231,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_31,Baby Memorial Hospital Blood Bank,Kozhikode,Kozhikode,Kerala,11.259595,75.792216,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_32,Sree Valsam Institute of Medical Sciences Blood Bank,Edappal,Malappuram,Kerala,10.765337,76.007335,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_33,Cannannore Co-operative Hospital Society Blood Bank,Kannur,Kannur,Kerala,11.764148,75.479831,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_34,Malabar Institute of Medical Sciences Blood Bank - Malappuram,Kottakkal,Malappuram,Kerala,10.995804,75.994034,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_35,Rotary Campco Blood Bank,Puttur,Dakshina Kannada,Karnataka,12.760706,75.198947,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_36,D. M. Wayanad Institute of Medical Sciences Blood Bank,Meppadi,Wayanad,Kerala,11.559371,76.160491,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_37,MMC Hospital Blood Bank,Atholi,Kozhikode,Kerala,11.433739,75.775293,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_38,M/s. Leo Hospital Blood Bank,Kalpetta,Wayanad,Kerala,11.604557,76.085057,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_39, M/s. Tejasvini Hospital Lions Blood Bank,Mangalore,Dakshina Kannada,Karnataka,12.880334,74.853689,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_40,Kozhikode District Co-operative Hospital Blood Bank,Eranhipalam,Kozhikode,Kerala,11.276572,75.784673,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
official_41,Chigateri District Hospital Blood Bank,Chigateri,Davangere,Karnataka,14.456165,75.916182,Esri India Blood Bank Directory 2017 (MoHFW/data.gov.in),2026-08-19T17:39:10.719610+00:00,2017 (historical; not live availability)
