record_date,bank_id,bank_name,city,state,latitude,longitude,blood_group,inventory_units,storage_capacity_units,donations_received,requests_received,units_expired,emergency_event_flag,data_origin,generation_seed,inventory_ratio,day_of_week,month
2024-01-01,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,92,143,8,9,2,0,SYNTHETIC_DATA_SET,42,0.6433566433566433,0,1
2024-01-02,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,84,143,17,24,1,0,SYNTHETIC_DATA_SET,42,0.5874125874125874,1,1
2024-01-03,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,96,143,35,23,0,0,SYNTHETIC_DATA_SET,42,0.6713286713286714,2,1
2024-01-04,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,90,143,16,20,2,0,SYNTHETIC_DATA_SET,42,0.6293706293706294,3,1
2024-01-05,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,92,143,23,21,0,0,SYNTHETIC_DATA_SET,42,0.6433566433566433,4,1
2024-01-06,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,83,143,14,23,0,0,SYNTHETIC_DATA_SET,42,0.5804195804195804,5,1
2024-01-07,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,82,143,20,19,2,1,SYNTHETIC_DATA_SET,42,0.5734265734265734,6,1
2024-01-08,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,86,143,14,10,0,0,SYNTHETIC_DATA_SET,42,0.6013986013986014,0,1
2024-01-09,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,93,143,21,14,0,0,SYNTHETIC_DATA_SET,42,0.6503496503496503,1,1
2024-01-10,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,92,143,18,19,0,0,SYNTHETIC_DATA_SET,42,0.6433566433566433,2,1
2024-01-11,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,102,143,21,10,1,0,SYNTHETIC_DATA_SET,42,0.7132867132867133,3,1
2024-01-12,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,109,143,22,11,4,0,SYNTHETIC_DATA_SET,42,0.7622377622377622,4,1
2024-01-13,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,105,143,11,10,5,0,SYNTHETIC_DATA_SET,42,0.7342657342657343,5,1
2024-01-14,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,106,143,20,18,1,0,SYNTHETIC_DATA_SET,42,0.7412587412587412,6,1
2024-01-15,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,107,143,17,15,1,0,SYNTHETIC_DATA_SET,42,0.7482517482517482,0,1
2024-01-16,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,134,143,39,11,1,0,SYNTHETIC_DATA_SET,42,0.9370629370629371,1,1
2024-01-17,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,23,9,2,0,SYNTHETIC_DATA_SET,42,1.0,2,1
2024-01-18,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,22,18,2,0,SYNTHETIC_DATA_SET,42,1.0,3,1
2024-01-19,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,21,11,3,0,SYNTHETIC_DATA_SET,42,1.0,4,1
2024-01-20,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,132,143,15,25,1,0,SYNTHETIC_DATA_SET,42,0.9230769230769231,5,1
2024-01-21,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,140,143,16,8,0,0,SYNTHETIC_DATA_SET,42,0.9790209790209791,6,1
2024-01-22,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,24,12,0,0,SYNTHETIC_DATA_SET,42,1.0,0,1
