record_date,bank_id,bank_name,city,state,latitude,longitude,blood_group,inventory_units,storage_capacity_units,donations_received,requests_received,units_expired,emergency_event_flag,data_origin,generation_seed
2024-01-01,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,92,143,8,9,2,0,SYNTHETIC_DATA_SET,42
2024-01-02,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,84,143,17,24,1,0,SYNTHETIC_DATA_SET,42
2024-01-03,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,96,143,35,23,0,0,SYNTHETIC_DATA_SET,42
2024-01-04,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,90,143,16,20,2,0,SYNTHETIC_DATA_SET,42
2024-01-05,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,92,143,23,21,0,0,SYNTHETIC_DATA_SET,42
2024-01-06,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,83,143,14,23,0,0,SYNTHETIC_DATA_SET,42
2024-01-07,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,82,143,20,19,2,1,SYNTHETIC_DATA_SET,42
2024-01-08,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,86,143,14,10,0,0,SYNTHETIC_DATA_SET,42
2024-01-09,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,93,143,21,14,0,0,SYNTHETIC_DATA_SET,42
2024-01-10,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,92,143,18,19,0,0,SYNTHETIC_DATA_SET,42
2024-01-11,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,102,143,21,10,1,0,SYNTHETIC_DATA_SET,42
2024-01-12,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,109,143,22,11,4,0,SYNTHETIC_DATA_SET,42
2024-01-13,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,105,143,11,10,5,0,SYNTHETIC_DATA_SET,42
2024-01-14,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,106,143,20,18,1,0,SYNTHETIC_DATA_SET,42
2024-01-15,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,107,143,17,15,1,0,SYNTHETIC_DATA_SET,42
2024-01-16,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,134,143,39,11,1,0,SYNTHETIC_DATA_SET,42
2024-01-17,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,23,9,2,0,SYNTHETIC_DATA_SET,42
2024-01-18,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,22,18,2,0,SYNTHETIC_DATA_SET,42
2024-01-19,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,21,11,3,0,SYNTHETIC_DATA_SET,42
2024-01-20,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,132,143,15,25,1,0,SYNTHETIC_DATA_SET,42
2024-01-21,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,140,143,16,8,0,0,SYNTHETIC_DATA_SET,42
2024-01-22,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,24,12,0,0,SYNTHETIC_DATA_SET,42
2024-01-23,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,142,143,21,20,2,1,SYNTHETIC_DATA_SET,42
2024-01-24,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,143,143,40,14,0,0,SYNTHETIC_DATA_SET,42
2024-01-25,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,136,143,15,21,1,0,SYNTHETIC_DATA_SET,42
2024-01-26,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,132,143,21,24,1,0,SYNTHETIC_DATA_SET,42
2024-01-27,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,115,143,10,25,2,0,SYNTHETIC_DATA_SET,42
2024-01-28,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,123,143,30,22,0,0,SYNTHETIC_DATA_SET,42
2024-01-29,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,109,143,13,25,2,0,SYNTHETIC_DATA_SET,42
2024-01-30,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,110,143,19,16,2,0,SYNTHETIC_DATA_SET,42
2024-01-31,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,114,143,16,10,2,0,SYNTHETIC_DATA_SET,42
2024-02-01,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,100,143,12,22,4,0,SYNTHETIC_DATA_SET,42
2024-02-02,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,113,143,40,25,2,0,SYNTHETIC_DATA_SET,42
2024-02-03,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,114,143,12,11,0,0,SYNTHETIC_DATA_SET,42
2024-02-04,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,119,143,23,18,0,0,SYNTHETIC_DATA_SET,42
2024-02-05,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,123,143,23,18,1,0,SYNTHETIC_DATA_SET,42
2024-02-06,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,119,143,9,11,2,0,SYNTHETIC_DATA_SET,42
2024-02-07,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,121,143,19,16,1,0,SYNTHETIC_DATA_SET,42
2024-02-08,bank_001,Synthetic Reference Centre North,Kanpur,Uttar Pradesh,26.4499,80.3319,A+,124,143,18,13,2,0,SYNTHETIC_DATA_SET,42
